fake_comment_id,fakepost_id,user_name,content,likes,time
1,1,MonkeysOnMyBottom,A far cooler guy than his brother Damp Kevin,7,1 day ago 
2,1,MonkeysOnMyBottom,A far cooler guy than his brother Damp Kevin,7,1 day ago 
3,2,FatQuack,"""I tell ya, I get no respect!""",10,1 day ago 
4,2,ConversationSad ,Fancy feast,3,23 hours ago 
5,3,MonkeysOnMyBottom,A far cooler guy than his brother Damp Kevin,7,1 day ago 
6,3,MonkeysOnMyBottom,A far cooler guy than his brother Damp Kevin,7,1 day ago 
7,4,FatQuack,"""I tell ya, I get no respect!""",10,1 day ago 
8,4,ConversationSad ,Fancy feast,3,23 hours ago 
9,5,FatQuack,"""I tell ya, I get no respect!""",10,1 day ago 
10,6,ConversationSad ,Fancy feast,3,23 hours ago 
